clean_text,label
ஒருவாட்டி கூட நீங்கள் யாருமே என்னைப் புரிந்துகொண்டது இல்லை,1
நான் இப்போது வாழ்க்கும் வாழ்க்கையும் என்னுக்குத் தெரிகிறது என் வாழ்க்கையும் முடிந்துவிட்டது,1
எனக்கு இப்ப தான் தோன்றுது நான் உன்னை எவ்வளவு நம்பினேன்னு ஆனா கடைசில நீ என்னை இப்படி ஏமாதிட்டு போய்ட்டாய்,1
கடவைத் திறந்திருக்கா திறக்க முடியுமா என்னால் இங்கிருக்க முடியாது,1
ஏதோ பெருஸ்வா நிலைக்கப்போகும் மாதிரி எனக்கு மிகவும் பயமா இருக்கு,1
நான் எல்லாருக்கு எட்டியும் சிரித்துதான் பேசுகிறேன் நல்லதான் இருக்கேன் ஆனால் ஏனெல்லாமே ஒரு கடைசியில் ஒரு பெரிய நோடகமா இருக்கு,1
எலாமே நாளைக்கு பண்ணலானு பாப்பேன் ஆனால் எனக்கு இப்போது நாளைக்கு வருவது கூட பிடிக்க மாட்டேன்குது,1
எனக்கு ஏதாவது ஆயிலம் போல இருக்க எனக்கு மிகவும் பயமாக இருக்க,1
எனக்கு இந்த வாழ்க்கையே பிடிக்கவில்லை நான் என்ன தவறா,1
என்னிடம் தில் பெரிய சத்தம் கேட்டிட்டே இருக்கும் போல இருக்கு என்னால் அது தாங்க வே முடியலை,1
எனக்கு இப்போலான என்ன செய்வது என்று தெரியவில்லை எதாவே வெறுத்து போன மாதிரி இருக்கிறது இப்போதும்,1
நான் யாருக்கு என்ன பாவம் சென்றேன் எல்லாரும் ஏன் என்னை இப்படி கஷ்டப்படுத்திட்டு இருக்காங்க,1
ஒரு நாள் புரியும் உனக்காக நான் தான் எல்லாம் மாற்றிட்டேன்னு அன்னா அப்ப நீ யோசிக்குறப்பே நான் உன்னுடன் இருக்க மாட்டேன்,1
நான் எதற்கு இப்படி செய்து கொண்டு என்று எனக்கு தெரியவில்லை ஆனால் என்ன செய்வது எனக்கு புரியமாட்டீங்கள்,1
யாரும் இங்கே இருக்கும் மாதிரி இருக்க என்னால் முடியும்து இதற்கு நான் இங்கே இருக்கதே முடியாது,1
என்ன பொறுமை என்ன நிதானம் எவ்வளவு நாளைக்குத்தான் நான் இந்த வாழ்க்கையை வாழ்வதுனே தெரியல,1
என் கஷ்டத்தைப் புரிந்துகொள்ளக்கூட யாருமே முயற்சி பணமாட்டுண்டான்னு நான் யாருக்கும் அவ்வளவு முக்கியம் இல்லையோ,1
என்ன ஆகுது ஏன் என்னால் இதையும் புரிந்துகொள்ள வே முடியவில்ல எல்லாமே ரொம்ப திசமாரி போன மாதிரி இருக்கு,1
என் வாழ்க்கை என் கையில் இருந்து இருந்தால் இவ்வளவு மூசமாக ஆக விட்டுருப்பேனா என்று எனக்கு தெரியவில்லை,1
யாரும் நான் எப்படி இருக்கேன்னு கேக்கமாட்டார்கள் கேட்டாலும் நான் பதில் சொல்வதற்கு முன்னாடியே போய்விடுவார்கள்,1
இன்னும் எவ்வளோ நாள்தான் இந்த மாதிரி இருக்கப் போறு என் உடம்பு மட்டும் தான் இங்க இருக்கு என்ன உயிரில்ல,1
நான் அழுத எல்லாரும் நடிக்கும் என்று சொல்கிறார்கள் நான் எவ்வளவு நிறந்து நான் ஒன்றும் பண்ணு என்னுடைய கஷ்டுப் பிடுத்த மாதிரி நடிப்பேன் ஒன்றும்,1
என்னுடைய கஷ்டும் என்னுடைய சுவ்பம் பற்றி பேசுன்னால் யாரும் புரிந்துக்க முடியாது,1
கடவைத் திருந்திருக்கா திருக்க முடியுமா என்னால் இங்க இருக்க முடியாது,1
என் வாழ்க்கையில் எனக்கு நிம்மதி கிடைக்குமா ஒரு நாள் கூட என்னால் நிம்மதியாவே இருந்தது இல்லை,1
எனக்கு எதுக்கும் தைரியம் இல்ல எப்படி மாறுவது,1
எனக்கு அலுத்து போச்சு என்னை யாருமே புரிந்துக்க வே மாட்டேன்குறாங்க,1
நீ ஏன் இப்படி பேசுற உன்னால்தான் நான் இவ்வளவு கஷ்டப் போட்டிட்டு இருக்கேன் கடைசில எல்லா பல்லையும் ஏன் மேல போடாதே,1
நான் எப்போமே சந்தோஷமா இருக்க மாதிரி நடிக்க வேண்டும் என்னுடைய கஷ்டத்தைப் பார்த்தால் நான் யாராலும் அதைத் தாங்க முடியாது,1
சண்ணிக்க முடியுமா என்னால் என்னால் சண்ணிக்குக்கூட முடியாதாம்,1
என்னை ஏன் எல்லாரு கஷ்டப் படுத்துறாங்க நான் யாருக்கு என்ன பாவம் செய்தேன்,1
என் கஷ்டத்தைக்கூட யாரும் புரிந்துகொள்ள முயற்சி பணமாட்டும் ராமே நான் அவ்வளவு முக்கியம் இல்லையா யாருக்கும்,1
